线名,隧道号,隧道名,里程桩号,全景点经度,全景点纬度,全景点高程,所在维修车间,拍摄时间,720云链接
杭温铁路,59,仙清一号（进口）,K210+300（进口）,120.7575916667,28.465841111,328.569,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907583
杭温铁路,59,仙清一号（出口）,K210+878（出口）,120.7589822222,28.4604855556,314.684,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907584
杭温铁路,60,仙清二号（进口）,K211+017（进口）,120.7591325,28.4597327778,314.319,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907585
杭温铁路,60,仙清二号（出口）,K212+214（出口）,120.7607600001,28.4485119443,270.383,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907586
杭温铁路,61,富佑（进口）,K212+355（进口）,120.7608058333,28.4476486111,270.777,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907587
杭温铁路,61,富佑（出口）,K214+334（出口）,120.7630408332,28.429533611,217.04,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907588
杭温铁路,62,岩坦（进口）,K215+026（进口）,120.7641011111,28.4238238889,217.222,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907589
杭温铁路,62,岩坦（出口）,K216+633（出口）,120.7682836111,28.4094586111,205.803,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907590
杭温铁路,63,郭后（进口）,K216+695（进口）,120.7683611111,28.4091794445,205.901,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907591
杭温铁路,63,郭后（出口）,K216+842（出口）,120.7688138889,28.4074994445,205.664,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907592
杭温铁路,64,深固（进口）,K217+225（进口）,120.7696936111,28.4044552778,206.037,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907593
杭温铁路,64,深固（出口）,K218+348（出口）,120.7711372222,28.3941658334,188.858,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907594
杭温铁路,65,大坪山（进口）,K218+654（进口）,120.7713602778,28.3917908334,189.212,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907595
杭温铁路,65,大坪山（出口）,K221+105（出口）,120.7725622222,28.3693097222,189.721,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907596
杭温铁路,66,林坪（进口）,K221+759（进口）,120.7725555556,28.3638272222,189.145,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907597
杭温铁路,66,林坪（出口）,K222+592（出口）,120.7720688889,28.3559711111,187.663,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907598
杭温铁路,67,境架山（进口）,K222+860（进口）,120.7722519445,28.3537777778,187.889,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907599
杭温铁路,67,境架山（出口）,K225+559（出口）,120.7769905556,28.3294030557,203.949,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907600
杭温铁路,68,金山（进口）,K227+132（进口）,120.7814199999,28.3164450001,196.013,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907601
杭温铁路,68,金山（出口）,K231+649（出口）,120.7924463888,28.2761397222,199.665,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907602
杭温铁路,69,霞山（进口）,K231+951（进口）,120.7928730555,28.2742361111,199.311,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907603
杭温铁路,69,霞山（出口）,K232+162（出口）,120.7930680555,28.27158,199.734,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907604
杭温铁路,70,白岩山（进口）,K232+461（进口）,120.7934152778,28.2696755556,199.69,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907605
杭温铁路,70,白岩山（出口）,K232+882（出口）,120.7934802777,28.265181111,182.264,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907606
杭温铁路,71,花坦（进口）,K233+604（进口）,120.7932544445,28.2595405555,181.26,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907607
杭温铁路,71,花坦（出口）,K236+683（出口）,120.7882027778,28.2311841667,168.86,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907608
杭温铁路,72,古庙（进口）,K237+291（进口）,120.787135,28.226573611,168.817,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907609
杭温铁路,72,古庙（出口）,K239+620（出口）,120.7821986113,28.2052219444,187.061,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907610
杭温铁路,73,梯山（进口）,K239+847（进口）,120.7820227779,28.2037483333,186.963,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907611
杭温铁路,73,梯山（出口）,K242+253（出口）,120.7771955556,28.1822630554,192.799,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907612
杭温铁路,74,焦坑（进口）,K242+491（进口）,120.7767902778,28.1804108333,192.928,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907613
杭温铁路,74,焦坑（出口）,K242+790（出口）,120.7759630555,28.1773722223,253.045,横店维修车间,2026,https://www.720yun.com/t/13akuy17df7?scene_id=129907614
杭昌高铁,/,大盘山隧道（进口）,/,120.0832086113,30.0118466666,278.052,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907846
杭昌高铁,/,大盘山隧道（出口）,K40+319（出口）,120.0436702778,30.0002311111,191.135,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907847
杭昌高铁,/,锣鼓山隧道（进口）,k56+062（进口）,119.9112375,29.9573008334,163.409,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907848
杭昌高铁,/,锣鼓山隧道（出口）,/,119.9079725,29.9312463888,163.01,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907849
杭昌高铁,/,象山桥隧道（进口）,/,119.6095983333,29.7201419444,168.985,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907850
杭昌高铁,/,象山桥隧道（出口）,k97+935（出口）,119.6064288889,29.7186491667,184.499,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907851
杭昌高铁,/,外蓬隧道（进口）,K103+342（进口）,119.5663483334,29.6860061111,218.465,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907852
杭昌高铁,/,外蓬隧道（出口）,/,119.5644297223,29.6847638889,219.293,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907853
杭昌高铁,/,下坑垄隧道（进口）,K104+086（进口）,119.560403889,29.6817752779,219.233,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907854
杭昌高铁,/,下坑垄隧道（出口）,/,119.5412233333,29.6645916666,213.356,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907855
杭昌高铁,/,华源隧道（进口）,K116+754（进口）,119.4722375,29.5981330554,235.939,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907856
杭昌高铁,/,华源隧道（出口）,/,119.4658350001,29.5949447222,212.603,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907857
杭昌高铁,/,广林坞隧道（进口）,/,119.4119394444,29.5732911111,228.347,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907858
杭昌高铁,/,广林坞隧道（出口）,K123+951（出口）,119.4045963889,29.5720725,219.06,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907859
杭昌高铁,/,紫高尖隧道（进口）,/,119.3654411113,29.5744133333,226.938,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907860
杭昌高铁,/,紫高尖隧道（出口）,K142+060（出口）,119.2681230556,29.6676502778,305.207,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907861
杭昌高铁,/,查林隧道（进口）,K142+542（进口）,119.2654750002,29.6701602778,305.758,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907862
杭昌高铁,/,查林隧道（出口）,/,119.2385333333,29.6986241666,341.028,桐庐维修车间,2026,https://www.720yun.com/t/0fakuy17drl?scene_id=129907863
